tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
ldv-regression/test26_false-unreach-call.c	unknown	4.375195448	5.1535940269968705	128954368	false(unreach-call)	3.705073704	3.765219403008814	98660352				
ldv-regression/test27_false-unreach-call.c	true	4.066084036	4.849134988995502	125181952	unknown	4.112157317	4.186754542999552	126791680				
ldv-regression/test28_false-unreach-call.c	true	3.896777575	4.6782984510064125	121376768	false(unreach-call)	3.711701166	3.7921001389913727	100036608				
ldv-regression/test29_false-unreach-call.c	true	3.915803551	4.662116089006304	121909248	false(unreach-call)	3.779958588	3.847957897989545	101838848				
ldv-regression/test30_false-unreach-call.c	unknown	4.798945044	5.55279065099603	160567296	false(unreach-call)	3.83688496	3.8965576159971533	98426880				
ldv-regression/test01_true-unreach-call.c	true	3.841895686	4.599174383009085	120942592					true	3.050869747	3.1216686990082962	88965120
ldv-regression/test03_true-unreach-call.c	true	3.971185939	4.746514783008024	123084800					true	3.100203345	3.161501615992165	90660864
ldv-regression/test04_true-unreach-call.c	true	3.859521781	4.6052767539949855	122765312					true	3.028455033	3.088963871006854	88367104
ldv-regression/test05_true-unreach-call.c	true	4.103315793	4.803246941010002	125321216					true	3.165675241	3.2275062859989703	89640960
ldv-regression/test07_true-unreach-call.c	true	4.205986177	4.968666518005193	126001152					true	3.148687514	3.2072751899977447	89886720
ldv-regression/test09_true-unreach-call.c	true	4.18554167	4.907234572994639	125923328					true	3.151156426	3.2189736150030512	92569600
ldv-regression/test10_true-unreach-call.c	unknown	4.755821413	5.50541331799468	147300352					true	3.263351462	3.330369700008305	93065216
ldv-regression/test11_true-unreach-call.c	true	4.104949603	4.862676991993794	125145088					true	3.25957129	3.3242622340039816	86999040
ldv-regression/test13_true-unreach-call.c	unknown	4.727104133	5.502187133999541	152502272					true	3.066938775	3.1270919509988744	87728128
ldv-regression/test14_true-unreach-call.c	true	4.048049918	4.806333685002755	123027456					true	3.223202934	3.284190093007055	86937600
ldv-regression/test15_true-unreach-call.c	true	4.016960487	4.745304776006378	123121664					true	3.080731646	3.143820582990884	85864448
ldv-regression/test16_true-unreach-call.c	true	4.105140718	4.867873107010382	125366272					true	3.134809546	3.1926103820005665	90296320
ldv-regression/test17_true-unreach-call.c	true	3.96597178	4.736985658004414	121933824					true	3.137655583	3.1974193430069136	93958144
ldv-regression/test18_true-unreach-call.c	true	4.011627133	4.751505235006334	123338752					true	3.098951092	3.1569822219898924	87494656
ldv-regression/test19_true-unreach-call.c	true	4.05522781	4.8195443709992105	123588608					true	3.037344735	3.09566165599972	88883200
ldv-regression/test20_true-unreach-call.c	true	3.951418744	4.683388488992932	122368000					true	3.03319304	3.094379233007203	85966848
ldv-regression/test21_true-unreach-call.c	true	4.411642978	5.15892428799998	129568768					true	3.184239552	3.248187264005537	86085632
ldv-regression/test22_true-unreach-call.c	true	4.398246251	5.137365319009405	129978368					true	5.302342263	5.415941562008811	126816256
ldv-regression/test23_true-unreach-call.c	true	4.544741619	5.276085047997185	130822144					true	9.774441229	9.868735957992612	221437952
ldv-regression/test24_true-unreach-call.c	true	4.362179862	5.047892768998281	124039168					true	4.873943234	4.986861412995495	128278528
ldv-regression/test25_true-unreach-call.c	true	4.603370292	5.278465506009525	128659456					true	21.003871707	21.080844806012465	245002240
ldv-regression/test26_true-unreach-call.c	true	4.101596032	4.853182328006369	123031552					true	3.201138124	3.254530756996246	96186368
ldv-regression/test27_true-unreach-call.c	unknown	5.454487999	6.28636645199731	150573056					ERROR (invalid witness file)	2.706040138	2.7255030360101955	84885504
ldv-regression/test28_true-unreach-call.c	unknown	5.358646407	6.106173091000528	173060096					true	3.158330279	3.2281616309919627	89100288
ldv-regression/test29_true-unreach-call.c	unknown	5.396637475	6.14153266500216	174460928					true	3.300578149	3.3713265219994355	95465472
ldv-regression/test30_true-unreach-call.c	unknown	4.962258983	5.708475939987693	161402880					true	3.112941158	3.1855739879974863	87326720
ddv-machzwd/ddv_machzwd_all_false-unreach-call_true-valid-memsafety.i	unknown	13.002973275	13.798289565005689	800202752	ERROR (invalid witness file)	4.83461959	4.857392844991409	112058368				
ddv-machzwd/ddv_machzwd_inw_false-unreach-call_true-valid-memsafety.i	unknown	12.827016081	13.669182163997903	719515648	ERROR (invalid witness file)	4.800691625	4.83106247500109	125988864				
ddv-machzwd/ddv_machzwd_outb_false-unreach-call_true-valid-memsafety.i	unknown	12.717630395	13.52553630899638	743034880	ERROR (invalid witness file)	4.827700985	4.854724817996612	110751744				
ddv-machzwd/ddv_machzwd_inb_p_true-unreach-call_false-valid-memtrack.i	true	11.322435703	12.14922957700037	717209600					true	7.690871452	7.753793826996116	134381568
ddv-machzwd/ddv_machzwd_inb_true-unreach-call_false-valid-memtrack.i	true	11.163376932	11.975284917993122	716533760					true	7.84882936	7.8987761229946045	143597568
ddv-machzwd/ddv_machzwd_inl_p_true-unreach-call_false-valid-memtrack.i	true	11.20523108	12.013884560001316	718241792					true	7.757569813	7.8213734819873935	141082624
ddv-machzwd/ddv_machzwd_inl_true-unreach-call_false-valid-memtrack.i	true	11.199104864	11.951783286000136	700731392					true	8.411798673	8.457005507996655	150388736
ddv-machzwd/ddv_machzwd_inw_p_true-unreach-call_false-valid-memtrack.i	true	11.235000169	12.086602184994263	719167488					true	8.273461384	8.326200680006878	145514496
ddv-machzwd/ddv_machzwd_outb_p_true-unreach-call_false-valid-memtrack.i	true	11.287746431	12.132678057998419	707883008					true	7.811432119	7.865448912998545	142823424
ddv-machzwd/ddv_machzwd_outl_p_true-unreach-call_false-valid-memtrack.i	true	11.751999688	12.566594836011063	733327360					true	8.219197878	8.279281725001056	145362944
ddv-machzwd/ddv_machzwd_outl_true-unreach-call_false-valid-memtrack.i	true	11.26186966	12.06689173700579	728309760					true	7.915017161	7.992205304006347	135675904
ddv-machzwd/ddv_machzwd_outw_p_true-unreach-call_false-valid-memtrack.i	true	11.894157346	12.613117348009837	731205632					true	7.894649433	7.939673613989726	139550720
ddv-machzwd/ddv_machzwd_pthread_mutex_unlock_true-unreach-call_false-valid-memtrack.i	true	11.254697313	12.055071851005778	723501056					true	7.696022429	7.770399599001394	132419584
forester-heap/dll-01_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	6.597435919	7.472109794005519	195817472	false(unreach-call)	4.141350332	4.225857001001714	98766848				
forester-heap/dll-circular_false-unreach-call_false-valid-memcleanup.i	unknown	6.351559614	7.240175256010843	184627200	ERROR (invalid witness file)	2.479326534	2.497751878006966	71811072				
forester-heap/dll-optional_false-unreach-call_false-valid-memcleanup.i	unknown	6.869043691	7.75661337900965	186212352	ERROR (invalid witness file)	2.516902458	2.536890195988235	72880128				
forester-heap/dll-queue_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	6.791963347	7.7270865899918135	196325376	false(unreach-call)	4.158005581	4.246572739997646	102424576				
forester-heap/dll-rb-cnstr_1_false-unreach-call_false-valid-deref.i	false(unreach-call)	6.769078388	7.637921197994729	181026816	false(unreach-call)	4.142077369	4.220589568998548	101277696				
forester-heap/dll-rb-sentinel_false-unreach-call_false-valid-memtrack.i	false(unreach-call)	6.983870166	7.981365789994015	202862592	false(unreach-call)	4.063267445	4.1584365620074095	107298816				
forester-heap/dll-simple-white-blue_false-unreach-call_false-valid-memcleanup.i	unknown	7.415985096	8.342023053992307	191901696	ERROR (invalid witness file)	2.50886574	2.5277704009931767	73224192				
forester-heap/dll-sorted_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	7.211919895	8.25718078299542	200843264	false(unreach-call)	4.30638514	4.3992065229977015	112627712				
forester-heap/dll-token_false-unreach-call_false-valid-memcleanup.i	unknown	6.72595507	7.615855216005002	183615488	ERROR (invalid witness file)	2.490623582	2.5148382969928207	70328320				
forester-heap/sll-01_false-unreach-call_false-valid-deref.i	false(unreach-call)	6.847209997	7.749983514993801	197136384	false(unreach-call)	4.122324979	4.221837831995799	97730560				
forester-heap/sll-buckets_false-unreach-call_false-valid-memcleanup.i	unknown	7.221259815	8.187394567998126	196874240	ERROR (invalid witness file)	2.545955334	2.566066788000171	73617408				
forester-heap/sll-circular_false-unreach-call_false-valid-memcleanup.i	unknown	6.487674904	7.360900993007817	180305920	ERROR (invalid witness file)	2.528204488	2.548698394006351	69726208				
forester-heap/sll-optional_false-unreach-call_false-valid-memcleanup.i	unknown	6.718126066	7.664044307995937	187854848	ERROR (invalid witness file)	2.561962946	2.586268318002112	72847360				
forester-heap/sll-queue_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	6.922716572	7.857525740007986	185331712	false(unreach-call)	4.141531111	4.2357537019997835	98811904				
forester-heap/sll-rb-cnstr_1_false-unreach-call_false-valid-deref.i	false(unreach-call)	6.731786394	7.617219743988244	181465088	false(unreach-call)	4.144031802	4.239614755002549	100102144				
forester-heap/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	6.917643262	7.844339028990362	185876480	false(unreach-call)	4.228493608	4.324372224000399	105537536				
forester-heap/sll-simple-white-blue_false-unreach-call_false-valid-memcleanup.i	unknown	6.887766832	7.816193250007927	186269696	ERROR (invalid witness file)	2.512531517	2.5309348559967475	70766592				
forester-heap/sll-sorted_false-unreach-call_false-valid-memcleanup.i	false(unreach-call)	7.075663154	8.061473615001887	183390208	false(unreach-call)	4.278339598	4.367473776001134	108208128				
forester-heap/sll-token_false-unreach-call_false-valid-memcleanup.i	unknown	6.276152941	7.156165923996014	185909248	ERROR (invalid witness file)	2.580706151	2.600479547996656	69599232				
